Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Rep Label,File Label,Permalink
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425402171,Cost of capital estimation in the current distressed environment.,No,http://hdl.handle.net/1959.14/98571,Cost of capital estimation in the current distressed environment,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425402171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425502171,New challenges for performance management : exploratory evidence on organisational responses to identity fraud.,No,http://hdl.handle.net/1959.14/41995,New challenges for performance management : exploratory evidence on organisational responses to identity fraud,Autherror;jsessionid=67ABB307E18734E646BDD49FCEBBBD87,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425502171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425602171,Are all audits born equal?,No,http://hdl.handle.net/1959.14/99207,Are all audits born equal?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425602171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425702171,Compensation structure and portfolio selection in a banking firm.,No,http://hdl.handle.net/1959.14/99209,Compensation structure and portfolio selection in a banking firm,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425702171
Journal Of Applied Research In Accounting And Finance Collection,81271192390002171,99245130425802171,"Hybrid financial instruments, cost of capital and regulatory arbitrage - an empirical investigation.",No,http://hdl.handle.net/1959.14/18344,,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130425802171
Journal Of Law And Financial Management Collection,81271192380002171,99245130655802171,Expensing the cost of executive option schemes : case studies in the Australian Healthcare Industry.,No,http://hdl.handle.net/1959.14/98936,Expensing the cost of executive option schemes : case studies in the Australian Healthcare Industry,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130655802171
Journal Of Law And Financial Management Collection,81271192380002171,99245130655902171,Does competition drive credit risk and performance in financial services lending? An Australian investigation.,No,http://hdl.handle.net/1959.14/99395,Does competition drive credit risk and performance in financial services lending? An Australian investigation,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130655902171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656002171,Implications of the Sons of Gwalia decision.,No,http://hdl.handle.net/1959.14/99396,Implications of the Sons of Gwalia decision,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656002171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656102171,The Treatment of risk in financial planning.,No,http://hdl.handle.net/1959.14/102372,The Treatment of risk in financial planning,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656102171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656202171,Irreconcilable legal and accounting views of 'a true and fair view' : an emerging alternative from Australian reforms.,No,http://hdl.handle.net/1959.14/98911,Irreconcilable legal and accounting views of 'a true and fair view' : an emerging alternative from Australian reforms,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656202171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656302171,A Note on autocorrelations in asset returns due to market overreaction.,No,http://hdl.handle.net/1959.14/98955,A Note on autocorrelations in asset returns due to market overreaction,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656302171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656402171,Self managed superannuation funds : theory and practice.,No,http://hdl.handle.net/1959.14/99233,Self managed superannuation funds : theory and practice,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656402171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656502171,Uncovered share return parity for Australian shares.,No,http://hdl.handle.net/1959.14/102584,Uncovered share return parity for Australian shares,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656502171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656602171,Finance lease taxation : giving tax losses to lenders.,No,http://hdl.handle.net/1959.14/99242,Finance lease taxation : giving tax losses to lenders,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656602171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656702171,Competition analysis of bank mergers in Australia.,No,http://hdl.handle.net/1959.14/98912,Competition analysis of bank mergers in Australia,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656702171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656802171,FASB EITF 99-16 provides necessary guidance to avoid overstatements of net income.,No,http://hdl.handle.net/1959.14/99403,FASB EITF 99-16 provides necessary guidance to avoid overstatements of net income,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656802171
Journal Of Law And Financial Management Collection,81271192380002171,99245130656902171,Assessment of law and practice relating to the mortgage origination process in securtisation programs.,No,http://hdl.handle.net/1959.14/99183,Assessment of law and practice relating to the mortgage origination process in securtisation programs,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130656902171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657002171,Taxation of infrastructure.,No,http://hdl.handle.net/1959.14/99371,Taxation of infrastructure,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657002171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657102171,What financial institutions are not disclosing about term annuity products.,No,http://hdl.handle.net/1959.14/99179,What financial institutions are not disclosing about term annuity products,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657102171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657202171,Regulation and the cost of equity capital in Australia.,No,http://hdl.handle.net/1959.14/98935,Regulation and the cost of equity capital in Australia,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657202171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657302171,Gearing and negative gearing.,No,http://hdl.handle.net/1959.14/102583,Gearing and negative gearing,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657302171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657402171,Operational risk - opportunities for accounting research.,No,http://hdl.handle.net/1959.14/99408,Operational risk - opportunities for accounting research,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657402171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657502171,Developments in Trade Practices law in Australia 1999-2001 : an analysis of part IV of the Trade Practices Act 1974.,No,http://hdl.handle.net/1959.14/98901,Developments in Trade Practices law in Australia 1999-2001 : an analysis of part IV of the Trade Practices Act 1974,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657502171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657602171,Superannuation and the ageing myth.,No,http://hdl.handle.net/1959.14/98956,Superannuation and the ageing myth,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657602171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657702171,The Decision to enter voluntary administration : timely strategy or last resort?,No,http://hdl.handle.net/1959.14/99372,The Decision to enter voluntary administration : timely strategy or last resort?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657702171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657802171,Frs 36 : an analysis of the compliance level and disclosure quality of Singaporean listed firms.,No,http://hdl.handle.net/1959.14/99404,Frs 36 : an analysis of the compliance level and disclosure quality of Singaporean listed firms,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657802171
Journal Of Law And Financial Management Collection,81271192380002171,99245130657902171,"Do returns on synthetic portfolios constructed from stock index futures deliver capital gains, dividends and franking credits?",No,http://hdl.handle.net/1959.14/279076,"Do returns on synthetic portfolios constructed from stock index futures deliver capital gains, dividends and franking credits?",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130657902171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658002171,"Re-examining the role of accounting, contracts and trust in inter-organisational networks.",No,http://hdl.handle.net/1959.14/39922,"Re-examining the role of accounting, contracts and trust in inter-organisational networks",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658002171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658102171,"Too many grapes, too little wrath.",No,http://hdl.handle.net/1959.14/14881,"Too many grapes, too little wrath",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658102171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658202171,Good faith - time to put the genie back in the bottle.,No,http://hdl.handle.net/1959.14/38176,Good faith - time to put the genie back in the bottle,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658202171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658302171,"Organisations, control systems and fraud.",No,http://hdl.handle.net/1959.14/21800,"Organisations, control systems and fraud",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658302171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658402171,Contractual and accounting controls in outsourcing agreements.,No,http://hdl.handle.net/1959.14/14871,Contractual and accounting controls in outsourcing agreements,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658402171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658502171,Executive options schemes - how much are they costing and what do they look like?,No,http://hdl.handle.net/1959.14/39872,Executive options schemes - how much are they costing and what do they look like?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658502171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658602171,Good faith in contractual performance - smoke without flame?,No,http://hdl.handle.net/1959.14/39873,Good faith in contractual performance - smoke without flame?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658602171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658702171,Preserving market integrity.,No,http://hdl.handle.net/1959.14/9245,Preserving market integrity,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658702171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658802171,Editorial (Journal of law and financial management).,No,http://hdl.handle.net/1959.14/96393,Editorial (Journal of law and financial management),Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658802171
Journal Of Law And Financial Management Collection,81271192380002171,99245130658902171,"Managers, contracts and good faith - challenging the community expectations myth.",No,http://hdl.handle.net/1959.14/39962,"Managers, contracts and good faith - challenging the community expectations myth",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130658902171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659002171,IFRS adoption and organisational change - evidence from Malaysia.,No,http://hdl.handle.net/1959.14/96502,IFRS adoption and organisational change - evidence from Malaysia,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659002171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659102171,Editorial (Journal of law and financial management).,No,http://hdl.handle.net/1959.14/96386,Editorial (Journal of law and financial management),Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659102171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659202171,The Trouble with M.E.R. : the disclosure of fees and charges in Australian superannuation and investment funds.,No,http://hdl.handle.net/1959.14/39932,The Trouble with M.E.R. : the disclosure of fees and charges in Australian superannuation and investment funds,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659202171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659302171,Does the use of hybrids cause distortions in financial statement disclosures?,No,http://hdl.handle.net/1959.14/39867,Does the use of hybrids cause distortions in financial statement disclosures?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659302171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659402171,Opinions on options : discordant incentives and desultory disclosure.,No,http://hdl.handle.net/1959.14/38092,Opinions on options : discordant incentives and desultory disclosure,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659402171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659502171,A Case based analysis of impairment decision making.,No,http://hdl.handle.net/1959.14/79060,A Case based analysis of impairment decision making,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659502171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659602171,Intangible assets and creative impairment - an analysis of current disclosure practices by large Australian listed firms.,No,http://hdl.handle.net/1959.14/14826,Intangible assets and creative impairment - an analysis of current disclosure practices by large Australian listed firms,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659602171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659702171,The Australian Competition and Consumer's proposed industry codes of conduct - a compliance solution?,No,http://hdl.handle.net/1959.14/96309,The Australian Competition and Consumer's proposed industry codes of conduct - a compliance solution?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659702171
Journal Of Law And Financial Management Collection,81271192380002171,99245130659802171,Why a charter of competition regulation is better than the Australian Competition and Consumer Commission's service charter and public shaming of corporations.,No,http://hdl.handle.net/1959.14/96173,Why a charter of competition regulation is better than the Australian Competition and Consumer Commission's service charter and public shaming of corporations,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130659802171
Legal History Collection,81271192360002171,99245130421702171,Book review : 'A Jurisprudence of power : Victorian empire and the rule of law'.,No,http://hdl.handle.net/1959.14/43067,Book review : 'A Jurisprudence of power : Victorian empire and the rule of law',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130421702171
Legal History Collection,81271192360002171,99245130421802171,Book review : 'Hague's history of the law in South Australia 1837-1867'.,No,http://hdl.handle.net/1959.14/43026,Book review : 'Hague's history of the law in South Australia 1837-1867',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130421802171
Legal History Collection,81271192360002171,99245130421902171,Book review : 'The Invention of Terra Nullius : historical and legal fictions on the foundation of Australia'.,No,http://hdl.handle.net/1959.14/41087,Book review : 'The Invention of Terra Nullius : historical and legal fictions on the foundation of Australia',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130421902171
Legal History Collection,81271192360002171,99245130422002171,Book review : 'How the Indians lost their land : law and power on the frontier'.,No,http://hdl.handle.net/1959.14/43039,Book review : 'How the Indians lost their land : law and power on the frontier',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130422002171
Legal History Collection,81271192360002171,99245130422102171,Book review : 'A History of water rights at common law'.,No,http://hdl.handle.net/1959.14/43052,Book review : 'A History of water rights at common law',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130422102171
Legal History Collection,81271192360002171,99245130422202171,"Law reform as personalities, politics and pragmatics - the family provision Act 1982 (NSW) : a case study.",No,http://hdl.handle.net/1959.14/22838,"Law reform as personalities, politics and pragmatics - the family provision Act 1982 (NSW) : a case study",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130422202171
Legal History Collection,81271192360002171,99245130422302171,'An indestructible Union ... of indestructible States' : the Supreme Court of the United States and secession.,No,http://hdl.handle.net/1959.14/11347,'An indestructible Union ... of indestructible States' : the Supreme Court of the United States and secession,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130422302171
MGSM Case Studies In Management Collection,81284603320002171,99245209346202171,The new face of entrepreneurship in Korea ChemTech Research Inc /,No,http://hdl.handle.net/1959.14/95344,,MGSM - Case Studies 2001-1,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346202171
MGSM Case Studies In Management Collection,81284603320002171,99245209346402171,IGA and the Coles-Shell Alliance /,No,http://hdl.handle.net/1959.14/96904,IGA and the Coles-Shell Alliance /,MGSM - Case Studies 2005-6,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346402171
MGSM Case Studies In Management Collection,81284603320002171,99245209346602171,The case of the new intranet /,No,http://hdl.handle.net/1959.14/95720,,MGSM - Case Studies 2001-4,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346602171
MGSM Case Studies In Management Collection,81284603320002171,99245209346702171,The Australian Bureau of Statistics : leading edge project management practices at a Board level /,No,http://hdl.handle.net/1959.14/96891,,MGSM - Case Studies 2005-4,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346702171
MGSM Case Studies In Management Collection,81284603320002171,99245209346802171,Against the odds : how an executive project sponsor influenced a project to succeed despite an unsupportive environment /,No,http://hdl.handle.net/1959.14/96885,Against the odds :,MGSM - Case Studies 2005-3,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346802171
MGSM Case Studies In Management Collection,81284603320002171,99245209347002171,Berri pure fruit juice : market entry strategy into Taiwan /,No,http://hdl.handle.net/1959.14/95752,Berri pure fruit juice :,MGSM - Case Studies 2002-3,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347002171
MGSM Case Studies In Management Collection,81284603320002171,99245209347102171,Anglicare /,No,http://hdl.handle.net/1959.14/98710,Anglicare /,MGSM - Case Studies 2006-1,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347102171
MGSM Case Studies In Management Collection,81284603320002171,99245209347202171,Casella Wines and the success of [yellow-tail] /,No,http://hdl.handle.net/1959.14/98584,Casella Wines and the success of [yellow-tail] /,MGSM - Case Studies 2006-2,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347202171
MGSM Case Studies In Management Collection,81284603320002171,99245209347302171,Napster /,No,http://hdl.handle.net/1959.14/95967,Napster /,MGSM - Case Studies 2002-4,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347302171
MGSM Case Studies In Management Collection,81284603320002171,99245209347502171,Taiwan's dragon multinational : the Acer Group /,No,http://hdl.handle.net/1959.14/95521,Taiwan's dragon multinational :,MGSM - Case Studies 2001-3,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347502171
MGSM Case Studies In Management Collection,81284603320002171,99245209347602171,Marketing strategy for Shanghai New Asia Snack Co Ltd /,No,http://hdl.handle.net/1959.14/94855,Marketing strategy for Shanghai New Asia Snack Co. Ltd. /,MGSM - Case Studies 2003-4,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347602171
MGSM Case Studies In Management Collection,81284603320002171,99245209347702171,Using strategy maps and the balanced scorecard effectively : the case of Manpower Australia /,No,http://hdl.handle.net/1959.14/98578,Using strategy maps and the balanced scorecard effectively :,MGSM - Case Studies 2006-3,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347702171
MGSM Case Studies In Management Collection,81284603320002171,99245209347802171,"""Fast follower"" industrial dynamics in East Asia : the case of the flat panel display industry /",No,http://hdl.handle.net/1959.14/96862,,MGSM - Case Studies 2003-5,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347802171
MGSM Case Studies In Management Collection,81284603320002171,99245209347902171,Difficulties consolidating IT systems following a merger of two computer services companies /,No,http://hdl.handle.net/1959.14/96868,Difficulties consolidating IT systems following a merger of two computer services companies /,MGSM - Case Studies 2004-1,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347902171
MGSM Case Studies In Management Collection,81284603320002171,99245209348002171,How projects fail 'successfully' : project underperformance explained by inconsistent conceptions of IT project success /,No,http://hdl.handle.net/1959.14/96879,How projects fail 'successfully' :,MGSM - Case Studies 2005-2,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348002171
MGSM Case Studies In Management Collection,81284603320002171,99245209348102171,A passion to succeed : how top managers underpin the effectiveness of IT governance /,No,http://hdl.handle.net/1959.14/96874,,MGSM - Case Studies 2005-1,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348102171
MGSM Working Papers In Management Collection,81284603330002171,99245209349402171,The reflective practice of managers and leaders : the cases of Steve Waugh and Andrew Grove /,No,http://hdl.handle.net/1959.14/97637,The reflective practice of managers and leaders :,MGSM working papers in management WP 2006-7,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209349402171
